,商品名,サイズ,価格
25,カフェ アメリカーノ,Short,345
35,エスプレッソ,Single,345
8,アイスコーヒー,Short,345
37,本日のコーヒー,Short,345
79,ミルク,Short,350
44,水出しアイスティー,Short,355
53,オリジナル  ～マラウイ&ダージリン～,Short,355
33,エスプレッソコンパナ,Single,378
31,エスプレッソマキアート,Single,378
36,エスプレッソ,Double,380
9,アイスコーヒー,Tall,400
28,カフェラテ,Short,400
38,本日のコーヒー,Tall,400
19,カプチーノ,Short,400
26,カフェ アメリカーノ,Tall,400
80,ミルク,Tall,405
45,水出しアイスティー,Tall,410
54,オリジナル  ～マラウイ&ダージリン～,Tall,410
32,エスプレッソマキアート,Double,413
34,エスプレッソコンパナ,Double,413
50,ロイヤルミルクティー,Short,420
69,ほうじ茶ラテ,Short,430
22,ソイラテ,Short,440
76,ブラッドオレンジジュース,Short,440
85,ココアラテ,Short,440
72,りんごストレート100％,Short,440
16,ハニーミルクラテ,Short,445
82,宇治抹茶ラテ,Short,445
27,カフェ アメリカーノ,Grande,455
10,アイスコーヒー,Grande,455
29,カフェラテ,Tall,455
39,本日のコーヒー,Grande,455
20,カプチーノ,Tall,455
47,チャイミルクティー,Short,460
81,ミルク,Grande,460
5,モカマキアート,Short,460
11,オーガニックデカフェ コーヒー,Tall,465
46,水出しアイスティー,Grande,465
51,ロイヤルミルクティー,Tall,475
70,ほうじ茶ラテ,Tall,485
86,ココアラテ,Tall,495
66,マンゴータンゴスワークル®,Short,495
73,りんごストレート100％,Tall,495
12,キャラメルラテ with ソルティーキャラメルソース,Short,495
77,ブラッドオレンジジュース,Tall,495
23,ソイラテ,Tall,495
17,ハニーミルクラテ,Tall,500
83,宇治抹茶ラテ,Tall,500
30,カフェラテ,Grande,510
21,カプチーノ,Grande,510
75,ヨーグルト＆アサイー,Tall,515
6,モカマキアート,Tall,515
48,チャイミルクティー,Tall,515
0,アイリッシュラテ,Short,520
52,ロイヤルミルクティー,Grande,530
40,ピスタチオ＆ベリーミルクティー,Short,535
15,ミルキーフラットホワイト,Tall,540
71,ほうじ茶ラテ,Grande,540
4,フラットホワイト,Tall,540
74,りんごストレート100％,Grande,550
67,マンゴータンゴスワークル®,Tall,550
78,ブラッドオレンジジュース,Grande,550
87,ココアラテ,Grande,550
13,キャラメルラテ with ソルティーキャラメルソース,Tall,550
24,ソイラテ,Grande,550
84,宇治抹茶ラテ,Grande,555
18,ハニーミルクラテ,Grande,555
7,モカマキアート,Grande,570
49,チャイミルクティー,Grande,570
1,アイリッシュラテ,Tall,575
41,ピスタチオ＆ベリーミルクティー,Tall,590
56,エスプレッソシェイク,Short,595
68,マンゴータンゴスワークル®,Grande,605
14,キャラメルラテ with ソルティーキャラメルソース,Grande,605
64,ほうじ茶リスタ®,Short,620
60,チョコリスタ®,Short,620
62,抹茶リスタ®,Short,620
2,アイリッシュラテ,Grande,630
58,ティーリスタ® アールグレイロイヤル,Short,630
42,ピスタチオ＆ベリーミルクティー,Grande,645
57,エスプレッソシェイク,Tall,650
63,抹茶リスタ®,Tall,675
61,チョコリスタ®,Tall,675
65,ほうじ茶リスタ®,Tall,675
55,ホリデー フランボワーズ シェイク,Tall,680
59,ティーリスタ® アールグレイロイヤル,Tall,685
3,ハリー・ポッター ミンスパイラテ,Tall,695
43,ハリー・ポッター ミンスパイ ミルクティー,Tall,695
