商品名,サイズ,価格
アイリッシュラテ,Short,520
アイリッシュラテ,Tall,575
アイリッシュラテ,Grande,630
ハリー・ポッター ミンスパイラテ,Tall,695
フラットホワイト,Tall,540
モカマキアート,Short,460
モカマキアート,Tall,515
モカマキアート,Grande,570
アイスコーヒー,Short,345
アイスコーヒー,Tall,400
アイスコーヒー,Grande,455
オーガニックデカフェ コーヒー,Tall,465
キャラメルラテ with ソルティーキャラメルソース,Short,495
キャラメルラテ with ソルティーキャラメルソース,Tall,550
キャラメルラテ with ソルティーキャラメルソース,Grande,605
ミルキーフラットホワイト,Tall,540
ハニーミルクラテ,Short,445
ハニーミルクラテ,Tall,500
ハニーミルクラテ,Grande,555
カプチーノ,Short,400
カプチーノ,Tall,455
カプチーノ,Grande,510
ソイラテ,Short,440
ソイラテ,Tall,495
ソイラテ,Grande,550
カフェ アメリカーノ,Short,345
カフェ アメリカーノ,Tall,400
カフェ アメリカーノ,Grande,455
カフェラテ,Short,400
カフェラテ,Tall,455
カフェラテ,Grande,510
エスプレッソマキアート,Single,378
エスプレッソマキアート,Double,413
エスプレッソコンパナ,Single,378
エスプレッソコンパナ,Double,413
エスプレッソ,Single,345
エスプレッソ,Double,380
本日のコーヒー,Short,345
本日のコーヒー,Tall,400
本日のコーヒー,Grande,455
ピスタチオ＆ベリーミルクティー,Short,535
ピスタチオ＆ベリーミルクティー,Tall,590
ピスタチオ＆ベリーミルクティー,Grande,645
ハリー・ポッター ミンスパイ ミルクティー,Tall,695
水出しアイスティー,Short,355
水出しアイスティー,Tall,410
水出しアイスティー,Grande,465
チャイミルクティー,Short,460
チャイミルクティー,Tall,515
チャイミルクティー,Grande,570
ロイヤルミルクティー,Short,420
ロイヤルミルクティー,Tall,475
ロイヤルミルクティー,Grande,530
オリジナル  ～マラウイ&ダージリン～,Short,355
オリジナル  ～マラウイ&ダージリン～,Tall,410
ホリデー フランボワーズ シェイク,Tall,680
エスプレッソシェイク,Short,595
エスプレッソシェイク,Tall,650
ティーリスタ® アールグレイロイヤル,Short,630
ティーリスタ® アールグレイロイヤル,Tall,685
チョコリスタ®,Short,620
チョコリスタ®,Tall,675
抹茶リスタ®,Short,620
抹茶リスタ®,Tall,675
ほうじ茶リスタ®,Short,620
ほうじ茶リスタ®,Tall,675
マンゴータンゴスワークル®,Short,495
マンゴータンゴスワークル®,Tall,550
マンゴータンゴスワークル®,Grande,605
ほうじ茶ラテ,Short,430
ほうじ茶ラテ,Tall,485
ほうじ茶ラテ,Grande,540
りんごストレート100％,Short,440
りんごストレート100％,Tall,495
りんごストレート100％,Grande,550
ヨーグルト＆アサイー,Tall,515
ブラッドオレンジジュース,Short,440
ブラッドオレンジジュース,Tall,495
ブラッドオレンジジュース,Grande,550
ミルク,Short,350
ミルク,Tall,405
ミルク,Grande,460
宇治抹茶ラテ,Short,445
宇治抹茶ラテ,Tall,500
宇治抹茶ラテ,Grande,555
ココアラテ,Short,440
ココアラテ,Tall,495
ココアラテ,Grande,550
